name,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05
赵薇,86153,137452,91355,52560,375908,1090887,197556,70114,158422,101353,112855,809294,2094536,642544,353627,265698,211495,224824,278379,1310548,966680,477896,640990,234419,1887669,202405,226316,194829,760382,1213496,132210,138857,187168,634250,286355,181417,274552,302969,188395
辣目洋子,12190,3991,392603,66064,70217,43195,15876,7796,4493,2966,23452,11210,292083,1256737,193632,109972,23400,28899,21418,19183,94764,20114,18254,7923,25373,53699,100682,748544,43628,42376,73539,35051,48898,139253,30580,14964,12378,17040,182640
郭敬明,373751,93467,28913,9117,165809,189104,70202,38036,23732,40929,66306,53616,1982423,3754794,755273,566800,333131,1590416,375527,832512,797837,287824,158828,118723,72548,133585,378738,461292,167349,87257,58812,52296,75365,892987,358219,271624,275670,188592,354193
郭晓婷,2552,7704,196014,10406,11327,28228,15206,793,1951,25378,23553,14692,523,14092,13295,9376,3753,6504,14009,99625,71145,31978,29413,24894,5063,23300,20325,53788,18873,11238,18253,9341,64033,4929,2500,12743,11598,3688,5656
陈凯歌,228473,144677,61491,24731,202344,120514,41499,14000,31600,60826,45365,43118,564516,974928,288026,108441,72854,195949,125579,367252,718522,180893,150264,100726,44981,69621,495722,1165569,338570,213140,95138,115866,94678,688319,555849,195255,558658,161572,118657
陈宥维,49349,111320,243668,100634,701435,992420,179744,955449,390303,225757,76950,50377,52641,49104,90045,342524,132934,64934,41916,149233,133152,147400,15035,77161,16440,46005,73948,166158,65712,109020,161888,62434,33939,361016,473107,175512,1381418,85442,85238
马伯骞,185514,231900,193960,20836,146819,33718,6534,13157,21017,4685,9599,25594,168921,171946,71285,62130,33780,102917,272900,61595,29648,58089,21954,53694,56807,61114,58760,133489,82156,44685,386953,89492,43664,142857,81755,37432,16633,233852,136364
马苏,18056,16590,37526,17952,123284,931842,279543,64479,38809,73488,58474,40044,121185,73648,65451,31573,27998,61292,17376,25963,28169,37354,35036,23652,14070,12039,70097,102524,71040,52933,26005,34255,8633,32405,37604,29037,9853,76601,47581
黄奕,12530,64487,23878,1955,36872,71861,35999,28142,35493,62968,48785,21073,774463,2450945,587117,157605,69245,123984,98576,43327,79314,35807,42495,73424,133240,61629,752965,968534,168203,107593,66816,27887,54867,20559,24692,60570,18795,54659,40709
黄梦莹,24243,7183,8241,14776,29052,6154,13121,1979,29260,2763,3862,457,2572,2662,2328,757,651,2402,11268,183463,394783,73303,15712,30424,7452,47171,43310,61282,12287,28032,10477,4357,10555,3848,1089,3166,527,11921,2315
黄璐,12,760,835,51,11489,7325,374,16856,11933,4980,17189,3014,22803,21897,48520,44098,1941,13554,302,2145,3525,841,1321,53,7347,15123,15700,8286,38911,4787,982,65,4271,8594,34587,25301,17531,12095,41194
