ids,times,stars,previews,likes
第一导演孔笙,2020-10-10 21:36:36,10,不能好好办受资本控制就别办了！还有我想问一下就郭敬明的水平凭什么当评委？在侮辱谁的智商呢？,84,
白马银枪,2020-10-10 23:06:04,10,垃圾！郭敬明太垃圾了！！本来还能看得下去，第二期活生生让郭敬明给恶心吐了！这节目只要有郭敬明，再也不会看了。FUCK！【新增：辣目洋子演的太好了！太好太好了……】【食言了，网上看到个片段，还是去看了一段，陈凯歌，呕！】,76,
依然范特西,2020-10-10 20:42:17,10,那个秀人是什么拿到s的？？？？一星给郭敬明，他值得,58,
大魔王是你,2020-10-11 01:40:35,10,从郭敬明给那个演技差的男演员一张s卡以及大鹏站队能看出来，这节目也就这样了,67,
Foley,2020-10-05 14:39:57,40,尔冬升一个人拉高了这个节目的档次。,83,
狼犬少年,2020-10-10 20:18:30,10,一星是给郭敬明的,58,
西西,2020-10-11 21:09:42,10,郭敬明、大鹏以及一众演技低到地心的流量垃圾，让人恶心。🤬🤢🤮,55,
林深鹿饮溪,2020-10-10 20:39:15,10,别问，问就郭敬明,54,
凡子鱼儿,2020-10-11 10:24:20,10,郭敬明这种价值观还有市场，就是这节目最大的败笔,45,
茉莉雪糖,2020-10-10 22:00:03,10,一个导演可以对于自己所要拍的戏的演员有所挑选，但是演员请就位就是考验大家演技水平的，或者挖掘有很大潜力的新人，而不是来挑人，以自己喜好为标准。喜欢谁就给谁s，这是来过家家吗？随心所欲为标准，那么郭显然跑错地方了，我觉得他可以去选秀节目选演员，一抓一大把.....错误的观念导向，是否会让很多新人产生困惑，或许不需要很好的演技，反正这是导演的能力，演出来不好导演要背锅，没有挖掘出演员的闪光点.....“千里马常有，而伯乐不常有”，如此运用，何人不是千里马？弃了~标准混乱，如芒在背，如鲠在喉,41,
[已注销],2020-10-03 00:41:38,10,弯弯资源咖第一季无数个这一季用心捧一个长相丑台词差强行和对手女演员（实力）拉到一个档次就是弯弯资本最擅长的吐了,44,
弘与合欢,2020-10-03 03:17:45,30,最成功的地方是挖掘到了尔冬升这么一个敢说的评委，最尴尬的是这一季能演的好像不太多。,116,
